image_bucket,text_bucket,joint_bucket,score_bucket,available_count,sampled_count
"[-1.00,0.50)","[0.80,0.90)","[0.30,0.50)","image=[-1.00,0.50)|text=[0.80,0.90)|joint=[0.30,0.50)",680,86
"[-1.00,0.50)","[0.80,0.90)","[0.50,0.60)","image=[-1.00,0.50)|text=[0.80,0.90)|joint=[0.50,0.60)",19728,86
"[-1.00,0.50)","[0.80,0.90)","[0.60,0.70)","image=[-1.00,0.50)|text=[0.80,0.90)|joint=[0.60,0.70)",57287,86
"[-1.00,0.50)","[0.90,1.01)","[0.30,0.50)","image=[-1.00,0.50)|text=[0.90,1.01)|joint=[0.30,0.50)",82,82
"[-1.00,0.50)","[0.90,1.01)","[0.50,0.60)","image=[-1.00,0.50)|text=[0.90,1.01)|joint=[0.50,0.60)",6367,85
"[-1.00,0.50)","[0.90,1.01)","[0.60,0.70)","image=[-1.00,0.50)|text=[0.90,1.01)|joint=[0.60,0.70)",59203,85
"[-1.00,0.50)","[0.90,1.01)","[0.70,0.80)","image=[-1.00,0.50)|text=[0.90,1.01)|joint=[0.70,0.80)",28073,85
"[0.50,0.60)","[0.80,0.90)","[0.60,0.70)","image=[0.50,0.60)|text=[0.80,0.90)|joint=[0.60,0.70)",7787,85
"[0.50,0.60)","[0.80,0.90)","[0.70,0.80)","image=[0.50,0.60)|text=[0.80,0.90)|joint=[0.70,0.80)",32715,86
"[0.50,0.60)","[0.90,1.01)","[0.70,0.80)","image=[0.50,0.60)|text=[0.90,1.01)|joint=[0.70,0.80)",61552,86
"[0.60,0.70)","[0.80,0.90)","[0.70,0.80)","image=[0.60,0.70)|text=[0.80,0.90)|joint=[0.70,0.80)",40740,85
"[0.60,0.70)","[0.90,1.01)","[0.70,0.80)","image=[0.60,0.70)|text=[0.90,1.01)|joint=[0.70,0.80)",31238,85
"[0.60,0.70)","[0.90,1.01)","[0.80,0.90)","image=[0.60,0.70)|text=[0.90,1.01)|joint=[0.80,0.90)",32592,85
"[0.70,0.80)","[0.80,0.90)","[0.70,0.80)","image=[0.70,0.80)|text=[0.80,0.90)|joint=[0.70,0.80)",7302,85
"[0.70,0.80)","[0.80,0.90)","[0.80,0.90)","image=[0.70,0.80)|text=[0.80,0.90)|joint=[0.80,0.90)",18282,85
"[0.70,0.80)","[0.90,1.01)","[0.80,0.90)","image=[0.70,0.80)|text=[0.90,1.01)|joint=[0.80,0.90)",38049,85
"[0.80,0.90)","[-1.00,0.50)","[0.30,0.50)","image=[0.80,0.90)|text=[-1.00,0.50)|joint=[0.30,0.50)",7,7
"[0.80,0.90)","[-1.00,0.50)","[0.50,0.60)","image=[0.80,0.90)|text=[-1.00,0.50)|joint=[0.50,0.60)",436,84
"[0.80,0.90)","[-1.00,0.50)","[0.60,0.70)","image=[0.80,0.90)|text=[-1.00,0.50)|joint=[0.60,0.70)",2817,84
"[0.80,0.90)","[0.50,0.60)","[0.60,0.70)","image=[0.80,0.90)|text=[0.50,0.60)|joint=[0.60,0.70)",880,84
"[0.80,0.90)","[0.50,0.60)","[0.70,0.80)","image=[0.80,0.90)|text=[0.50,0.60)|joint=[0.70,0.80)",3374,84
"[0.80,0.90)","[0.60,0.70)","[0.70,0.80)","image=[0.80,0.90)|text=[0.60,0.70)|joint=[0.70,0.80)",6325,84
"[0.80,0.90)","[0.70,0.80)","[0.70,0.80)","image=[0.80,0.90)|text=[0.70,0.80)|joint=[0.70,0.80)",1509,84
"[0.80,0.90)","[0.70,0.80)","[0.80,0.90)","image=[0.80,0.90)|text=[0.70,0.80)|joint=[0.80,0.90)",4923,85
"[0.80,0.90)","[0.80,0.90)","[0.80,0.90)","image=[0.80,0.90)|text=[0.80,0.90)|joint=[0.80,0.90)",9789,85
"[0.80,0.90)","[0.90,1.01)","[0.80,0.90)","image=[0.80,0.90)|text=[0.90,1.01)|joint=[0.80,0.90)",5833,85
"[0.80,0.90)","[0.90,1.01)","[0.90,1.01)","image=[0.80,0.90)|text=[0.90,1.01)|joint=[0.90,1.01)",9159,85
"[0.90,1.01)","[-1.00,0.50)","[0.50,0.60)","image=[0.90,1.01)|text=[-1.00,0.50)|joint=[0.50,0.60)",24,24
"[0.90,1.01)","[-1.00,0.50)","[0.60,0.70)","image=[0.90,1.01)|text=[-1.00,0.50)|joint=[0.60,0.70)",549,84
"[0.90,1.01)","[-1.00,0.50)","[0.70,0.80)","image=[0.90,1.01)|text=[-1.00,0.50)|joint=[0.70,0.80)",202,84
"[0.90,1.01)","[0.50,0.60)","[0.70,0.80)","image=[0.90,1.01)|text=[0.50,0.60)|joint=[0.70,0.80)",845,85
"[0.90,1.01)","[0.60,0.70)","[0.70,0.80)","image=[0.90,1.01)|text=[0.60,0.70)|joint=[0.70,0.80)",1139,85
"[0.90,1.01)","[0.60,0.70)","[0.80,0.90)","image=[0.90,1.01)|text=[0.60,0.70)|joint=[0.80,0.90)",366,85
"[0.90,1.01)","[0.70,0.80)","[0.80,0.90)","image=[0.90,1.01)|text=[0.70,0.80)|joint=[0.80,0.90)",1997,85
"[0.90,1.01)","[0.80,0.90)","[0.80,0.90)","image=[0.90,1.01)|text=[0.80,0.90)|joint=[0.80,0.90)",1523,85
"[0.90,1.01)","[0.80,0.90)","[0.90,1.01)","image=[0.90,1.01)|text=[0.80,0.90)|joint=[0.90,1.01)",423,85
"[0.90,1.01)","[0.90,1.01)","[0.90,1.01)","image=[0.90,1.01)|text=[0.90,1.01)|joint=[0.90,1.01)",5203,85
